"""Good afternoon,"" is a greeting used from noon to early evening.",https://d1pra95f92lrn3.cloudfront.net/audio/2895.mp3,Good afternoon.,https://d1pra95f92lrn3.cloudfront.net/audio/88344.mp3,"""Guten Tag"" ist eine Begrüßung, die man vom Mittag bis zum frühen Abend gebraucht.",https://d1pra95f92lrn3.cloudfront.net/audio/640004.mp3,Guten Tag.,,https://d1pra95f92lrn3.cloudfront.net/audio/1302683.mp3,https://d1pra95f92lrn3.cloudfront.net/media/thumb/21648_192square.jpg,w21648
"""no"" sign",https://d1pra95f92lrn3.cloudfront.net/audio/3003.mp3,No.,https://d1pra95f92lrn3.cloudfront.net/audio/2997.mp3,"""Nein""-Zeichen",https://d1pra95f92lrn3.cloudfront.net/audio/1302616.mp3,Nein.,,https://d1pra95f92lrn3.cloudfront.net/audio/96582.mp3,https://d1pra95f92lrn3.cloudfront.net/media/thumb/21966_192square.jpg,w21966
3 o’clock,https://d1pra95f92lrn3.cloudfront.net/audio/3270.mp3,o'clock,https://d1pra95f92lrn3.cloudfront.net/audio/87738.mp3,3 Uhr,https://d1pra95f92lrn3.cloudfront.net/audio/1302641.mp3,Uhr,die,https://d1pra95f92lrn3.cloudfront.net/audio/95131.mp3,https://d1pra95f92lrn3.cloudfront.net/media/thumb/22044_192square.jpg,w22044
April first,https://d1pra95f92lrn3.cloudfront.net/audio/90044.mp3,April,https://d1pra95f92lrn3.cloudfront.net/audio/3214.mp3,erster April,https://d1pra95f92lrn3.cloudfront.net/audio/354528.mp3,April,der,https://d1pra95f92lrn3.cloudfront.net/audio/1304970.mp3,https://d1pra95f92lrn3.cloudfront.net/media/thumb/22021_192square.jpg,w22021
"Can I have some water, please?",https://d1pra95f92lrn3.cloudfront.net/audio/68110.mp3,water,https://d1pra95f92lrn3.cloudfront.net/audio/305977.mp3,Kann ich bitte etwas Wasser haben?,https://d1pra95f92lrn3.cloudfront.net/audio/639341.mp3,Wasser,das,https://d1pra95f92lrn3.cloudfront.net/audio/309706.mp3,https://d1pra95f92lrn3.cloudfront.net/media/thumb/9628_192square.jpg,w9628
can jump over,https://d1pra95f92lrn3.cloudfront.net/audio/254226.mp3,can,https://d1pra95f92lrn3.cloudfront.net/audio/89127.mp3,drüberspringen können,https://d1pra95f92lrn3.cloudfront.net/audio/370850.mp3,können,,https://d1pra95f92lrn3.cloudfront.net/audio/1302514.mp3,https://d1pra95f92lrn3.cloudfront.net/media/thumb/9008_192square.jpg,w9008
chicken for dinner,https://d1pra95f92lrn3.cloudfront.net/audio/4716.mp3,chicken,https://d1pra95f92lrn3.cloudfront.net/audio/306130.mp3,Hühnchen zum Abendessen,https://d1pra95f92lrn3.cloudfront.net/audio/355000.mp3,Hühnchen,das,https://d1pra95f92lrn3.cloudfront.net/audio/1302679.mp3,https://d1pra95f92lrn3.cloudfront.net/media/thumb/10126_192square.jpg,w10126
cup of coffee,https://d1pra95f92lrn3.cloudfront.net/audio/4567.mp3,coffee,https://d1pra95f92lrn3.cloudfront.net/audio/87753.mp3,Tasse Kaffee,https://d1pra95f92lrn3.cloudfront.net/audio/639316.mp3,Kaffee,der,https://d1pra95f92lrn3.cloudfront.net/audio/1302654.mp3,https://d1pra95f92lrn3.cloudfront.net/media/thumb/22103_192square.jpg,w22103
cup of tea,https://d1pra95f92lrn3.cloudfront.net/audio/4608.mp3,tea,https://d1pra95f92lrn3.cloudfront.net/audio/87763.mp3,Tasse Tee,https://d1pra95f92lrn3.cloudfront.net/audio/1302653.mp3,Tee,der,https://d1pra95f92lrn3.cloudfront.net/audio/1302647.mp3,https://d1pra95f92lrn3.cloudfront.net/media/thumb/22101_192square.jpg,w22101
day calendar,https://d1pra95f92lrn3.cloudfront.net/audio/262703.mp3,calendar,https://d1pra95f92lrn3.cloudfront.net/audio/262702.mp3,Tageskalender,https://d1pra95f92lrn3.cloudfront.net/audio/639045.mp3,Kalender,der,https://d1pra95f92lrn3.cloudfront.net/audio/1304662.mp3,https://d1pra95f92lrn3.cloudfront.net/media/thumb/21796_192square.jpg,w21796
